dimension_name,dimension
Family (Benefit Unit) Dataset,str:count:FRSBU:V_F_FRSBU
Family (Benefit Unit) Income received from State Support,str:group:FRSBU:M_Family+%28Benefit+Unit%29+Income+received+from+State+Support
Family (Benefit Unit) amount of savings and investments,str:group:FRSBU:M_Family+%28Benefit+Unit%29+amount+of+savings+and+investments
Financial Year,str:field:FRSBU:V_F_FRSBU:YEAR
Geography,str:group:FRSBU:X_Geography
Age band of the Head of the Family (Benefit Unit),str:field:FRSBU:V_F_FRSBU:AGEBAND
Age band of the Youngest Child in the Family (Benefit Unit),str:field:FRSBU:V_F_FRSBU:BU_YOUNGCH
Disability Status of the Family (Benefit Unit),str:field:FRSBU:V_F_FRSBU:BU_DIS_STAT
Economic Status of the Family (Benefit Unit),str:field:FRSBU:V_F_FRSBU:BU_ECOSTAT
Tenure type of the Household,str:field:FRSBU:V_F_FRSBU:TENURE
Ethnicity,str:group:FRSBU:X_Ethnicity
Family (Benefit Unit) Type,str:group:FRSBU:X_Family+%28Benefit+Unit%29+Type
Benefit receipt,str:group:FRSBU:X_Benefit+receipt
Income from State Support,str:group:FRSBU:X_Income+from+State+Support
Savings and Investments,str:group:FRSBU:X_Savings+and+Investments
