,geography_code,tenure_type,value,variable_name
0,E92000001,local_authority_owned,1575728.0,number_of_houses
1,E06000022,local_authority_owned,42.0,number_of_houses
2,E06000055,local_authority_owned,0.0,number_of_houses
3,E06000008,local_authority_owned,0.0,number_of_houses
4,E06000009,local_authority_owned,4765.0,number_of_houses
5,E06000028,local_authority_owned,,number_of_houses
6,E06000058,local_authority_owned,9885.0,number_of_houses
7,E06000036,local_authority_owned,90.0,number_of_houses
8,E06000043,local_authority_owned,11703.0,number_of_houses
9,E06000023,local_authority_owned,26814.0,number_of_houses
10,E06000060,local_authority_owned,160.0,number_of_houses
11,E06000056,local_authority_owned,5500.0,number_of_houses
12,E06000049,local_authority_owned,23.0,number_of_houses
13,E06000050,local_authority_owned,5420.0,number_of_houses
14,E06000052,local_authority_owned,10301.0,number_of_houses
15,E06000047,local_authority_owned,0.0,number_of_houses
16,E06000005,local_authority_owned,5277.0,number_of_houses
17,E06000015,local_authority_owned,12539.0,number_of_houses
18,E06000059,local_authority_owned,38.0,number_of_houses
19,E06000011,local_authority_owned,11454.0,number_of_houses
20,E06000006,local_authority_owned,0.0,number_of_houses
21,E06000001,local_authority_owned,309.0,number_of_houses
22,E06000019,local_authority_owned,8.0,number_of_houses
23,E06000046,local_authority_owned,81.0,number_of_houses
24,E06000053,local_authority_owned,117.0,number_of_houses
25,E06000010,local_authority_owned,23305.0,number_of_houses
26,E06000016,local_authority_owned,19072.0,number_of_houses
27,E06000032,local_authority_owned,7929.0,number_of_houses
28,E06000035,local_authority_owned,2998.0,number_of_houses
29,E06000002,local_authority_owned,59.0,number_of_houses
30,E06000042,local_authority_owned,12648.0,number_of_houses
31,E06000012,local_authority_owned,5.0,number_of_houses
32,E06000013,local_authority_owned,12.0,number_of_houses
33,E06000061,local_authority_owned,8243.0,number_of_houses
34,E06000024,local_authority_owned,12.0,number_of_houses
35,E06000057,local_authority_owned,8252.0,number_of_houses
36,E06000018,local_authority_owned,24896.0,number_of_houses
37,E06000031,local_authority_owned,112.0,number_of_houses
38,E06000026,local_authority_owned,0.0,number_of_houses
39,E06000029,local_authority_owned,,number_of_houses
40,E06000044,local_authority_owned,9964.0,number_of_houses
41,E06000038,local_authority_owned,6987.0,number_of_houses
42,E06000003,local_authority_owned,0.0,number_of_houses
43,E06000017,local_authority_owned,1.0,number_of_houses
44,E06000051,local_authority_owned,4039.0,number_of_houses
45,E06000039,local_authority_owned,6281.0,number_of_houses
46,E06000025,local_authority_owned,10.0,number_of_houses
47,E06000045,local_authority_owned,16381.0,number_of_houses
48,E06000033,local_authority_owned,6081.0,number_of_houses
49,E06000004,local_authority_owned,0.0,number_of_houses
50,E06000021,local_authority_owned,17724.0,number_of_houses
51,E06000030,local_authority_owned,10228.0,number_of_houses
52,E06000020,local_authority_owned,0.0,number_of_houses
53,E06000034,local_authority_owned,9856.0,number_of_houses
54,E06000027,local_authority_owned,0.0,number_of_houses
55,E06000007,local_authority_owned,94.0,number_of_houses
56,E06000037,local_authority_owned,82.0,number_of_houses
57,E06000062,local_authority_owned,11412.0,number_of_houses
58,E06000054,local_authority_owned,5304.0,number_of_houses
59,E06000040,local_authority_owned,0.0,number_of_houses
60,E06000041,local_authority_owned,2605.0,number_of_houses
61,E06000014,local_authority_owned,7525.0,number_of_houses
62,E09000002,local_authority_owned,16713.0,number_of_houses
63,E09000003,local_authority_owned,10019.0,number_of_houses
64,E09000004,local_authority_owned,224.0,number_of_houses
65,E09000005,local_authority_owned,7860.0,number_of_houses
66,E09000006,local_authority_owned,104.0,number_of_houses
67,E09000007,local_authority_owned,22797.0,number_of_houses
68,E09000001,local_authority_owned,453.0,number_of_houses
69,E09000008,local_authority_owned,13505.0,number_of_houses
70,E09000009,local_authority_owned,11418.0,number_of_houses
71,E09000010,local_authority_owned,10526.0,number_of_houses
72,E09000011,local_authority_owned,20829.0,number_of_houses
73,E09000012,local_authority_owned,21688.0,number_of_houses
74,E09000013,local_authority_owned,12138.0,number_of_houses
75,E09000014,local_authority_owned,14986.0,number_of_houses
76,E09000015,local_authority_owned,4784.0,number_of_houses
77,E09000016,local_authority_owned,9112.0,number_of_houses
78,E09000017,local_authority_owned,10262.0,number_of_houses
79,E09000018,local_authority_owned,13520.0,number_of_houses
80,E09000019,local_authority_owned,25497.0,number_of_houses
81,E09000020,local_authority_owned,6907.0,number_of_houses
82,E09000021,local_authority_owned,4555.0,number_of_houses
83,E09000022,local_authority_owned,23994.0,number_of_houses
84,E09000023,local_authority_owned,14019.0,number_of_houses
85,E09000024,local_authority_owned,83.0,number_of_houses
86,E09000025,local_authority_owned,15708.0,number_of_houses
87,E09000026,local_authority_owned,4485.0,number_of_houses
88,E09000027,local_authority_owned,0.0,number_of_houses
89,E09000028,local_authority_owned,37683.0,number_of_houses
90,E09000029,local_authority_owned,6049.0,number_of_houses
91,E09000030,local_authority_owned,11586.0,number_of_houses
92,E09000031,local_authority_owned,9669.0,number_of_houses
93,E09000032,local_authority_owned,17229.0,number_of_houses
94,E09000033,local_authority_owned,11960.0,number_of_houses
95,E11000001,local_authority_owned,58840.0,number_of_houses
96,E08000001,local_authority_owned,0.0,number_of_houses
97,E08000002,local_authority_owned,7533.0,number_of_houses
98,E08000003,local_authority_owned,15421.0,number_of_houses
99,E08000004,local_authority_owned,2098.0,number_of_houses
100,E08000005,local_authority_owned,1.0,number_of_houses
101,E08000006,local_authority_owned,1208.0,number_of_houses
102,E08000007,local_authority_owned,11122.0,number_of_houses
103,E08000008,local_authority_owned,0.0,number_of_houses
104,E08000009,local_authority_owned,0.0,number_of_houses
105,E08000010,local_authority_owned,21457.0,number_of_houses
106,E11000002,local_authority_owned,215.0,number_of_houses
107,E08000011,local_authority_owned,14.0,number_of_houses
108,E08000012,local_authority_owned,170.0,number_of_houses
109,E08000014,local_authority_owned,0.0,number_of_houses
110,E08000013,local_authority_owned,2.0,number_of_houses
111,E08000015,local_authority_owned,29.0,number_of_houses
112,E11000003,local_authority_owned,96957.0,number_of_houses
113,E08000016,local_authority_owned,18134.0,number_of_houses
114,E08000017,local_authority_owned,20043.0,number_of_houses
115,E08000018,local_authority_owned,20165.0,number_of_houses
116,E08000019,local_authority_owned,38615.0,number_of_houses
117,E11000004,local_authority_owned,74271.0,number_of_houses
118,E08000037,local_authority_owned,18810.0,number_of_houses
119,E08000021,local_authority_owned,24893.0,number_of_houses
120,E08000022,local_authority_owned,14299.0,number_of_houses
121,E08000023,local_authority_owned,16202.0,number_of_houses
122,E08000024,local_authority_owned,67.0,number_of_houses
123,E11000005,local_authority_owned,140529.0,number_of_houses
124,E08000025,local_authority_owned,59004.0,number_of_houses
125,E08000026,local_authority_owned,133.0,number_of_houses
126,E08000027,local_authority_owned,21284.0,number_of_houses
127,E08000028,local_authority_owned,28346.0,number_of_houses
128,E08000029,local_authority_owned,10035.0,number_of_houses
129,E08000030,local_authority_owned,0.0,number_of_houses
130,E08000031,local_authority_owned,21727.0,number_of_houses
131,E11000006,local_authority_owned,76460.0,number_of_houses
132,E08000032,local_authority_owned,406.0,number_of_houses
133,E08000033,local_authority_owned,0.0,number_of_houses
134,E08000034,local_authority_owned,21960.0,number_of_houses
135,E08000035,local_authority_owned,54034.0,number_of_houses
136,E08000036,local_authority_owned,60.0,number_of_houses
137,E10000001,local_authority_owned,,number_of_houses
138,E07000002,local_authority_owned,,number_of_houses
139,E07000001,local_authority_owned,,number_of_houses
140,E07000003,local_authority_owned,,number_of_houses
141,E10000002,local_authority_owned,,number_of_houses
142,E07000004,local_authority_owned,,number_of_houses
143,E07000005,local_authority_owned,,number_of_houses
144,E07000006,local_authority_owned,,number_of_houses
145,E07000007,local_authority_owned,,number_of_houses
146,E10000003,local_authority_owned,13078.0,number_of_houses
147,E07000008,local_authority_owned,7140.0,number_of_houses
148,E07000009,local_authority_owned,0.0,number_of_houses
149,E07000010,local_authority_owned,24.0,number_of_houses
150,E07000011,local_authority_owned,65.0,number_of_houses
151,E07000012,local_authority_owned,5849.0,number_of_houses
152,E10000004,local_authority_owned,,number_of_houses
153,E07000013,local_authority_owned,,number_of_houses
154,E07000014,local_authority_owned,,number_of_houses
155,E07000015,local_authority_owned,,number_of_houses
156,E07000016,local_authority_owned,,number_of_houses
157,E07000017,local_authority_owned,,number_of_houses
158,E07000018,local_authority_owned,,number_of_houses
159,E10000005,local_authority_owned,,number_of_houses
160,E07000019,local_authority_owned,,number_of_houses
161,E07000020,local_authority_owned,,number_of_houses
162,E07000025,local_authority_owned,,number_of_houses
163,E07000021,local_authority_owned,,number_of_houses
164,E07000022,local_authority_owned,,number_of_houses
165,E07000023,local_authority_owned,,number_of_houses
166,E07000024,local_authority_owned,,number_of_houses
167,E10000006,local_authority_owned,2562.0,number_of_houses
168,E07000026,local_authority_owned,2.0,number_of_houses
169,E07000027,local_authority_owned,2537.0,number_of_houses
170,E07000028,local_authority_owned,17.0,number_of_houses
171,E07000029,local_authority_owned,1.0,number_of_houses
172,E07000030,local_authority_owned,0.0,number_of_houses
173,E07000031,local_authority_owned,5.0,number_of_houses
174,E10000007,local_authority_owned,28246.0,number_of_houses
175,E07000032,local_authority_owned,27.0,number_of_houses
176,E07000033,local_authority_owned,5010.0,number_of_houses
177,E07000034,local_authority_owned,8843.0,number_of_houses
178,E07000035,local_authority_owned,4.0,number_of_houses
179,E07000036,local_authority_owned,0.0,number_of_houses
180,E07000037,local_authority_owned,3863.0,number_of_houses
181,E07000038,local_authority_owned,7546.0,number_of_houses
182,E07000039,local_authority_owned,2953.0,number_of_houses
183,E10000008,local_authority_owned,11965.0,number_of_houses
184,E07000040,local_authority_owned,4183.0,number_of_houses
185,E07000041,local_authority_owned,4778.0,number_of_houses
186,E07000042,local_authority_owned,2969.0,number_of_houses
187,E07000043,local_authority_owned,10.0,number_of_houses
188,E07000044,local_authority_owned,4.0,number_of_houses
189,E07000045,local_authority_owned,4.0,number_of_houses
190,E07000046,local_authority_owned,5.0,number_of_houses
191,E07000047,local_authority_owned,12.0,number_of_houses
192,E10000009,local_authority_owned,,number_of_houses
193,E07000048,local_authority_owned,,number_of_houses
194,E07000049,local_authority_owned,,number_of_houses
195,E07000050,local_authority_owned,,number_of_houses
196,E07000051,local_authority_owned,,number_of_houses
197,E07000052,local_authority_owned,,number_of_houses
