Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Ethnic Group of the Head of the Household (please calculate three-year averages - click on i for the correct method),not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2011-12,North East (E12000001),Asian/ Asian British,15660.0,9359.0
2011-12,North East (E12000001),Black/ African/ Caribbean/ Black British,0.0,4505.0
2011-12,North East (E12000001),Mixed/ Multiple Ethnic Groups,0.0,0.0
2011-12,North East (E12000001),Not declared (from 2020/21 onwards),0.0,0.0
2011-12,North East (E12000001),Other Ethnic Group,27022.0,18819.0
2011-12,North East (E12000001),White,2043282.0,444556.0
2011-12,North West (E12000002),Asian/ Asian British,178076.0,166337.0
2011-12,North West (E12000002),Black/ African/ Caribbean/ Black British,73613.0,40443.0
2011-12,North West (E12000002),Mixed/ Multiple Ethnic Groups,26995.0,5504.0
2011-12,North West (E12000002),Not declared (from 2020/21 onwards),0.0,0.0
2011-12,North West (E12000002),Other Ethnic Group,62916.0,32274.0
2011-12,North West (E12000002),White,5412615.0,968823.0
2011-12,Yorkshire and The Humber (E12000003),Asian/ Asian British,207192.0,208375.0
2011-12,Yorkshire and The Humber (E12000003),Black/ African/ Caribbean/ Black British,47455.0,23351.0
2011-12,Yorkshire and The Humber (E12000003),Mixed/ Multiple Ethnic Groups,27140.0,5660.0
2011-12,Yorkshire and The Humber (E12000003),Not declared (from 2020/21 onwards),0.0,0.0
2011-12,Yorkshire and The Humber (E12000003),Other Ethnic Group,10748.0,18097.0
2011-12,Yorkshire and The Humber (E12000003),White,3970287.0,703295.0
