Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Age of the Youngest Child in the Family of the Individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2013-14,North East (E12000001),0 to 4,388298.0,62978.0
2013-14,North East (E12000001),11 to 15,141383.0,11167.0
2013-14,North East (E12000001),16 to 19,62394.0,37963.0
2013-14,North East (E12000001),5 to 10,268796.0,49851.0
2013-14,North East (E12000001),No children in the family,1275276.0,262470.0
2013-14,North West (E12000002),0 to 4,1066655.0,213245.0
2013-14,North West (E12000002),11 to 15,549015.0,148961.0
2013-14,North West (E12000002),16 to 19,160600.0,50542.0
2013-14,North West (E12000002),5 to 10,737660.0,137009.0
2013-14,North West (E12000002),No children in the family,3292242.0,625344.0
2013-14,Yorkshire and The Humber (E12000003),0 to 4,915433.0,160949.0
2013-14,Yorkshire and The Humber (E12000003),11 to 15,326689.0,82077.0
2013-14,Yorkshire and The Humber (E12000003),16 to 19,169480.0,71111.0
2013-14,Yorkshire and The Humber (E12000003),5 to 10,477546.0,101351.0
2013-14,Yorkshire and The Humber (E12000003),No children in the family,2473476.0,462312.0
