Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Number of Children in the Family of the Individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2014-15,North East (E12000001),No children,1225342.0,284284.0
2014-15,North East (E12000001),One child,339260.0,106263.0
2014-15,North East (E12000001),Three or more children,160281.0,54658.0
2014-15,North East (E12000001),Two children,346416.0,55570.0
2014-15,North West (E12000002),No children,3277923.0,688999.0
2014-15,North West (E12000002),One child,910569.0,223633.0
2014-15,North West (E12000002),Three or more children,416069.0,182093.0
2014-15,North West (E12000002),Two children,1084843.0,226035.0
2014-15,Yorkshire and The Humber (E12000003),No children,2481662.0,480106.0
2014-15,Yorkshire and The Humber (E12000003),One child,709000.0,150917.0
2014-15,Yorkshire and The Humber (E12000003),Three or more children,308361.0,94497.0
2014-15,Yorkshire and The Humber (E12000003),Two children,784108.0,253832.0
