dimension_name,dimension
Quarter,str:field:ESA_Caseload_new:F_ESA_QTR_NEW:DATE_NAME
National - Regional - LA - OAs,str:field:ESA_Caseload_new:V_F_ESA_NEW:COA_CODE
National - Regional - LA - Ward,str:field:ESA_Caseload_new:V_F_ESA_NEW:WARD_CODE
Westminster Parliamentary Constituencies,str:field:ESA_Caseload_new:V_F_ESA_NEW:PCON
Scottish Parliamentary Constituencies,str:field:ESA_Caseload_new:V_F_ESA_NEW:SPC_CODE
Age (bands and single year),str:field:ESA_Caseload_new:V_F_ESA_NEW:CNAGE
Duration of current claim,str:field:ESA_Caseload_new:V_F_ESA_NEW:CTDURTN
Ethnicity (detailed and summary),str:field:ESA_Caseload_new:V_F_ESA_NEW:ETHNIC
Gender of claimant,str:field:ESA_Caseload_new:V_F_ESA_NEW:CCSEX
Grouped amount of benefit,str:field:ESA_Caseload_new:V_F_ESA_NEW:AMTGP
IB reassessment indicator,str:field:ESA_Caseload_new:V_F_ESA_NEW:IB_MIG
Medical condition,str:field:ESA_Caseload_new:V_F_ESA_NEW:ICDGP
Partner indicator,str:field:ESA_Caseload_new:V_F_ESA_NEW:PTNR
Payment type,str:field:ESA_Caseload_new:V_F_ESA_NEW:PAYMENT_TYPE
Phase of ESA claim,str:field:ESA_Caseload_new:V_F_ESA_NEW:ESA_PHASE
