measure_name,measure
Adult Dataset,str:count:FRSAD:V_F_FRSAD
Weighted Sum of Adult Dataset,str:measure:FRSAD:V_F_FRSAD:GROSS
"Adult total, annual, net Income received from Employment in latest prices (CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:NET_ANN_EMP_INC
"Adult total, annual, net Income received from Employment in year prices (in nominal terms)",str:measure:FRSAD:V_F_FRSAD:NET_ANN_EMP_INC_INYR
"Adult total, annual, net Income received from Self Employment in latest prices (CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:NET_ANN_SE_INC
"Adult total, annual, net Income received from Self Employment in year prices (in nominal terms)",str:measure:FRSAD:V_F_FRSAD:NET_ANN_SE_INC_INYR
"Adult total, net Income received from all sources in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:NET_AMT
"Adult total, net Income received from all sources in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:NET_AMT_INYR
"Adult total, annual, net Income received from all sources in latest prices (CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:NET_ANN_INC
"Adult total, annual, net Income received from all sources in year prices (in nominal terms)",str:measure:FRSAD:V_F_FRSAD:NET_ANN_INC_INYR
"Household Income from Disability Benefits in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:DISBEN
"Household Income from Disability Benefits in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:DISBEN_INYR
"Household Income from other benefits in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:OTHBEN
"Household Income from other benefits in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:OTHBEN_INYR
"Household Income from State Pension, Income Support and Pension Credit in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:RPINC
"Household Income from State Pension, Income Support and Pension Credit in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:RPINC_INYR
"Household Income from Tax Credits in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:TXCRED
"Household Income from Tax Credits in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:TXCRED_INYR
"Household Income from Universal Credit in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:UC
"Household Income from Universal Credit in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:UC_INYR
"Household total, gross Income from Employment in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:EARNS
"Household total, gross Income from Employment in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:EARNS_INYR
"Household total, gross Income from Self-Employment in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:SEINC
"Household total, gross Income from Self-Employment in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:SEINC_INYR
"Household total, gross Income from Investments in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:INV
"Household total, gross Income from Investments in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:INV_INYR
"Household total, gross Income from non-state pensions in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:PENINC
"Household total, gross Income from non-state pensions in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:PENINC_INYR
"Household total, gross Income from other sources in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:OTH_SOURCE
"Household total, gross Income from other sources in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:OTH_SOURCE_INYR
"Household total, gross Income from all sources in latest prices (weekly, CPI adjusted real terms)",str:measure:FRSAD:V_F_FRSAD:INC
"Household total, gross Income from all sources in year prices (weekly, in nominal terms)",str:measure:FRSAD:V_F_FRSAD:INC_INYR
