dates_date,freq
Mar-11,m
Apr-11,m
May-11,m
Jun-11,m
Jul-11,m
Aug-11,m
Sep-11,m
Oct-11,m
Nov-11,m
Dec-11,m
Jan-12,m
Feb-12,m
Mar-12,m
Apr-12,m
May-12,m
Jun-12,m
Jul-12,m
Aug-12,m
Sep-12,m
Oct-12,m
Nov-12,m
Dec-12,m
Jan-13,m
Feb-13,m
Mar-13,m
Apr-13,m
May-13,m
Jun-13,m
Jul-13,m
Aug-13,m
Sep-13,m
Oct-13,m
Nov-13,m
Dec-13,m
Jan-14,m
Feb-14,m
Mar-14,m
Apr-14,m
May-14,m
Jun-14,m
Jul-14,m
Aug-14,m
Sep-14,m
Oct-14,m
Nov-14,m
Dec-14,m
Jan-15,m
Feb-15,m
Mar-15,m
Apr-15,m
May-15,m
Jun-15,m
Jul-15,m
Aug-15,m
Sep-15,m
Oct-15,m
Nov-15,m
Dec-15,m
Jan-16,m
Feb-16,m
Mar-16,m
Apr-16,m
May-16,m
Jun-16,m
Jul-16,m
Aug-16,m
Sep-16,m
Oct-16,m
Nov-16,m
Dec-16,m
Jan-17,m
Feb-17,m
Mar-17,m
Apr-17,m
May-17,m
Jun-17,m
Jul-17,m
Aug-17,m
Sep-17,m
Oct-17,m
Nov-17,m
Dec-17,m
Jan-18,m
Feb-18,m
Mar-18,m
Apr-18,m
May-18,m
Jun-18,m
Jul-18,m
Aug-18,m
Sep-18,m
Oct-18,m
Nov-18,m
Dec-18,m
Jan-19,m
Feb-19,m
Mar-19,m
Apr-19,m
May-19,m
Jun-19,m
Jul-19,m
Aug-19,m
Sep-19,m
Oct-19,m
Nov-19,m
Dec-19,m
Jan-20,m
Feb-20,m
Mar-20,m
Apr-20,m
May-20,m
Jun-20,m
Jul-20,m
Aug-20,m
Sep-20,m
Oct-20,m
Nov-20,m
Dec-20,m
Jan-21,m
Feb-21,m
Mar-21,m
Apr-21,m
May-21,m
Jun-21,m
Jul-21,m
Aug-21,m
Sep-21,m
Oct-21,m
Nov-21,m
Dec-21,m
Jan-22,m
Feb-22,m
Mar-22,m
Apr-22,m
May-22,m
Jun-22,m
Jul-22,m
Aug-22,m
Sep-22,m
Oct-22,m
Nov-22,m
Dec-22,m
