dimension_name,dimension
Month Decision Made,str:field:UC_sanc_ind:V_F_UC_SANC_DEC:CDLDECISION_CLMONTH
National - Regional - LA - OAs,str:field:UC_sanc_ind:V_F_UC_SANC_DEC:CCCOA_CODE
Westminster Parliamentary Constituencies,str:field:UC_sanc_ind:V_F_UC_SANC_DEC:PARLC_CODE
Age (bands and single year),['str:field:UC_sanc_ind:V_F_UC_SANC_DEC:CCJCP_OFFICE']
Decision Outcome,['Jobcentre Plus']
Decision Type,['str:field:UC_sanc_ind:V_F_UC_SANC_DEC:CCPCODE_DISTRICT']
Gender,['Postcode Area - District']
Referral Reason,str:field:UC_sanc_ind:V_F_UC_SANC_DEC:CNLDECISION_AGE
Sanction Level,str:field:UC_sanc_ind:V_F_UC_SANC_DEC:CCLDECISION_OUTCOME_GROUP
High Level Adverse Sanction Decisions,str:field:UC_sanc_ind:V_F_UC_SANC_DEC:CCLDECISION_TYPE
Medium Level Adverse Sanction Decisions,str:field:UC_sanc_ind:V_F_UC_SANC_DEC:CCSEX
Low Level Adverse Sanction Decisions,str:field:UC_sanc_ind:V_F_UC_SANC_DEC:CCDOUBT_TYPE
Total Number of Adverse Sanction Decisions,str:field:UC_sanc_ind:V_F_UC_SANC_DEC:CCSANCTION_LEVEL
Lowest Level Adverse Sanction Decisions,str:field:UC_sanc_ind:F_UC_SANC_IND:CNUCH_ADV_COUNT
