dimension_name,dimension
Month,str:field:UC_Monthly:F_UC_DATE:DATE_NAME
Jobcentre Plus,str:field:UC_Monthly:V_F_UC_CASELOAD_FULL:JCP_OFFICE_CODE
National - Regional - LA - OAs,str:field:UC_Monthly:V_F_UC_CASELOAD_FULL:COA_CODE
National - Regional - LA - Ward,str:field:UC_Monthly:V_F_UC_CASELOAD_FULL:WARD_CODE
Westminster Parliamentary Constituencies,str:field:UC_Monthly:V_F_UC_CASELOAD_FULL:PARLC_CODE
Postcode Area - District,str:field:UC_Monthly:V_F_UC_CASELOAD_FULL:POSTCODE_DISTRICT
Age (bands and single year),str:field:UC_Monthly:V_F_UC_CASELOAD_FULL:AGE_CODE
Conditionality Regime,str:field:UC_Monthly:V_F_UC_CASELOAD_FULL:CCCONDITIONALITY_REGIME
Duration,str:field:UC_Monthly:V_F_UC_CASELOAD_FULL:DURATION_BAND_CODE
Employment indicator,str:field:UC_Monthly:V_F_UC_CASELOAD_FULL:EMPLOYMENT_CODE
Gender,str:field:UC_Monthly:V_F_UC_CASELOAD_FULL:GENDER_CODE
