geography_code,Number of persons,number_of_children,pensioners,working_age
E08000001,296041.0,26101.0,8766.0,14377.0
E08000002,193823.0,10921.0,4652.0,8253.0
E08000003,549853.0,48555.0,15376.0,32808.0
E08000004,242072.0,25877.0,6730.0,14853.0
E08000005,224087.0,19163.0,6741.0,13754.0
E08000006,270764.0,16342.0,8252.0,17465.0
E08000007,295243.0,10864.0,6854.0,12490.0
E08000008,231199.0,13823.0,7217.0,10045.0
E08000009,235546.0,7666.0,5004.0,8106.0
E08000010,329759.0,14957.0,9850.0,14797.0
E47000001,2868387.0,,,
