geography_code,Number of persons,number_of_children,pensioners,working_age
E05009932,6981.0,,,
E05009933,4412.0,,,
E05009934,4765.0,,,
E05009935,2467.0,,,
E05009936,4651.0,,,
E05009937,4756.0,,,
E05009938,6669.0,,,
E05009939,4160.0,,,
E05009940,4722.0,,,
E05009941,6377.0,,,
E05009942,4797.0,,,
E05009943,6467.0,,,
E05009944,5140.0,,,
E05009945,4996.0,,,
E05009946,4905.0,,,
E05009947,1583.0,,,
E05009948,2723.0,,,
E05009949,5648.0,,,
E05009950,6326.0,,,
E05009951,4669.0,,,
E05009952,4245.0,,,
E05009953,4291.0,,,
E05009954,4944.0,,,
E05009955,2373.0,,,
E07000128,112457.0,3811.0,3784.0,5105.0
