geography_code,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05000800,11545.0,,,,[]
E05000801,12635.0,,,,[]
E05000802,11582.0,,,,[]
E05000803,12490.0,,,,[]
E05000804,11112.0,,,,[]
E05000805,10982.0,,,,[]
E05000806,11117.0,,,,[]
E05000807,12302.0,,,,[]
E05000808,11123.0,,,,[]
E05000809,12832.0,,,,[]
E05000810,10880.0,,,,[]
E05000811,12529.0,,,,[]
E05000812,14819.0,,,,[]
E05000813,11608.0,,,,[]
E05000814,9975.0,,,,[]
E05000815,11509.0,,,,[]
E05000816,13996.0,,,,[]
E05000817,12860.0,,,,[]
E05000818,11221.0,,,,[]
E08000008,231199.0,13823.0,7217.0,10045.0,['E47000001']
