,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05014250,,,,,[]
E05014251,,,,,[]
E05014252,,,,,[]
E05014253,,,,,[]
E05014254,,,,,[]
E05014255,,,,,[]
E05014256,,,,,[]
E05014257,,,,,[]
E05014258,,,,,[]
E05014259,,,,,[]
E05014260,,,,,[]
E05014261,,,,,[]
E05014262,,,,,[]
E05014263,,,,,[]
E05014264,,,,,[]
E05014265,,,,,[]
E05014266,,,,,[]
E05014267,,,,,[]
E05014268,,,,,[]
E05014269,,,,,[]
E05014270,,,,,[]
E05014271,,,,,[]
E05014272,,,,,[]
E05014273,,,,,[]
E05014274,,,,,[]
E05014275,,,,,[]
E05014276,,,,,[]
E05014277,,,,,[]
E05014278,,,,,[]
E05014279,,,,,[]
E05014280,,,,,[]
E05014281,,,,,[]
E05014282,,,,,[]
E05014283,,,,,[]
E05014284,,,,,[]
E05014284,,,,,[]
E05014285,,,,,[]
E05014286,,,,,[]
E05014287,,,,,[]
E05014288,,,,,[]
E05014289,,,,,[]
E05014290,,,,,[]
E05014291,,,,,[]
E05014292,,,,,[]
E05014293,,,,,[]
E05014294,,,,,[]
E05014295,,,,,[]
E05014296,,,,,[]
E05014297,,,,,[]
E05014298,,,,,[]
E05014299,,,,,[]
E05014300,,,,,[]
E05014301,,,,,[]
E05014302,,,,,[]
E05014303,,,,,[]
E05014304,,,,,[]
E05014305,,,,,[]
E05014306,,,,,[]
E05014307,,,,,[]
E05014308,,,,,[]
E05014309,,,,,[]
E05014310,,,,,[]
E05014311,,,,,[]
E05014312,,,,,[]
E05014313,,,,,[]
E05014314,,,,,[]
E05014315,,,,,[]
E05014316,,,,,[]
E05014317,,,,,[]
E05014318,,,,,[]
E05014319,,,,,[]
E05014320,,,,,[]
E05014321,,,,,[]
E05014322,,,,,[]
E05014323,,,,,[]
E05014324,,,,,[]
E05014325,,,,,[]
E05014326,,,,,[]
E05014327,,,,,[]
E05014328,,,,,[]
E05014329,,,,,[]
E05014330,,,,,[]
E05014331,,,,,[]
E05014332,,,,,[]
E05014333,,,,,[]
E05014334,,,,,[]
E05014335,,,,,[]
E05014336,,,,,[]
E05014337,,,,,[]
E05014338,,,,,[]
E07000163,57090.0,1327.0,1279.0,1161.0,['E10000023']
E07000164,91037.0,1875.0,2007.0,2183.0,['E10000023']
E07000165,164105.0,2754.0,2917.0,4172.0,['E10000023']
E07000166,50358.0,1217.0,987.0,1085.0,['E10000023']
E07000167,54897.0,1409.0,1371.0,1637.0,['E10000023']
E07000168,108959.0,3976.0,4029.0,5633.0,['E10000023']
E07000169,92401.0,2421.0,1752.0,2646.0,['E10000023']
E10000023,618847.0,,,,['E12000003']
